GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
0500000US47139,47139,"Polk County, Tennessee",16825,16826,16817,16745,16613,16636,16685,16763,16770,16757
0500000US47141,47141,"Putnam County, Tennessee",72321,72347,72569,73016,73472,74015,74913,75098,76123,77674
0500000US47143,47143,"Rhea County, Tennessee",31809,31802,31857,32065,32328,32463,32525,32320,32392,32691
0500000US47145,47145,"Roane County, Tennessee",54181,54193,54157,53916,53558,53106,52827,52748,52913,53036
0500000US47147,47147,"Robertson County, Tennessee",66283,66349,66355,66705,66728,67221,67869,68429,69177,70177
0500000US47149,47149,"Rutherford County, Tennessee",262604,262592,263747,268966,274124,280914,288608,297920,307683,317157
0500000US47151,47151,"Scott County, Tennessee",22228,22232,22227,22102,22136,21997,21986,21881,21892,21989
0500000US47153,47153,"Sequatchie County, Tennessee",14112,14121,14127,14249,14343,14528,14634,14631,14740,14736
0500000US47155,47155,"Sevier County, Tennessee",89889,89725,89948,91107,92231,93298,94570,95502,96609,97638
0500000US47157,47157,"Shelby County, Tennessee",927644,927683,928552,933268,939425,938825,938434,937885,937130,936961
0500000US47159,47159,"Smith County, Tennessee",19166,19149,19125,19131,19103,19040,19026,19228,19466,19636
0500000US47161,47161,"Stewart County, Tennessee",13324,13313,13349,13228,13315,13297,13218,13198,13174,13355
0500000US47163,47163,"Sullivan County, Tennessee",156823,156806,156755,156881,156385,156270,156513,156318,156335,157158
0500000US47165,47165,"Sumner County, Tennessee",160645,160617,161199,163584,165783,168623,172183,175193,179108,183545
0500000US47167,47167,"Tipton County, Tennessee",61081,61006,61066,61241,61509,61535,61566,61525,61176,61366
0500000US47169,47169,"Trousdale County, Tennessee",7870,7864,7874,7810,7787,7801,7993,8040,9950,10083
0500000US47171,47171,"Unicoi County, Tennessee",18313,18311,18284,18288,18227,18043,17905,17779,17665,17759
0500000US47173,47173,"Union County, Tennessee",19109,19109,19118,19191,19103,19054,18990,19161,19232,19442
0500000US47175,47175,"Van Buren County, Tennessee",5548,5558,5569,5535,5631,5573,5653,5692,5716,5742
0500000US47177,47177,"Warren County, Tennessee",39839,39824,39860,39887,39731,39859,39934,40206,40400,40651
0500000US47179,47179,"Washington County, Tennessee",122979,123065,123386,123858,124775,125353,125736,126072,127220,127806
0500000US47181,47181,"Wayne County, Tennessee",17021,17027,16987,16942,16918,16850,16788,16677,16665,16583
0500000US47183,47183,"Weakley County, Tennessee",35021,35015,35042,34855,34548,34144,33987,33846,33568,33337
0500000US47185,47185,"White County, Tennessee",25841,25836,25821,26009,26017,26173,26229,26362,26451,26753
0500000US47187,47187,"Williamson County, Tennessee",183182,183252,184130,188395,193073,198991,205213,211456,218888,226257
0500000US47189,47189,"Wilson County, Tennessee",113993,114057,114677,116756,118991,121914,125146,128434,132433,136442
0500000US48001,48001,"Anderson County, Texas",58458,58458,58495,58379,58036,57960,57837,57641,57558,57741
0500000US48003,48003,"Andrews County, Texas",14786,14786,14847,15386,16106,16788,17448,18092,17837,17722
0500000US48005,48005,"Angelina County, Texas",86771,86771,86903,87282,87496,87365,87601,87901,87830,87805
0500000US48007,48007,"Aransas County, Texas",23158,23158,23181,23228,23462,23897,24581,24834,25275,25572
0500000US48009,48009,"Archer County, Texas",9054,9055,9112,8834,8808,8793,8835,8755,8774,8809
0500000US48011,48011,"Armstrong County, Texas",1901,1901,1902,1937,1955,1940,1917,1902,1856,1879
0500000US48013,48013,"Atascosa County, Texas",44911,44911,44950,45483,46415,46997,47700,48349,48666,48981
0500000US48015,48015,"Austin County, Texas",28417,28411,28357,28570,28516,28651,28940,29447,29637,29786
0500000US48017,48017,"Bailey County, Texas",7165,7165,7153,7159,7107,7097,6939,7199,7180,7077
0500000US48019,48019,"Bandera County, Texas",20485,20485,20557,20538,20595,20561,20814,21146,21710,22351
0500000US48021,48021,"Bastrop County, Texas",74171,74159,74317,75090,74799,75896,77919,80198,82754,84761
0500000US48023,48023,"Baylor County, Texas",3726,3726,3708,3695,3590,3577,3567,3649,3638,3581
0500000US48025,48025,"Bee County, Texas",31861,31861,31863,32312,32474,32803,32837,32609,32835,32563
0500000US48027,48027,"Bell County, Texas",310235,310158,312854,315809,324989,327150,330248,336094,341203,347833
0500000US48029,48029,"Bexar County, Texas",1714773,1714774,1722797,1755124,1788244,1821250,1857635,1894811,1927747,1958578
0500000US48031,48031,"Blanco County, Texas",10497,10499,10509,10569,10614,10636,10804,11038,11341,11626
0500000US48033,48033,"Borden County, Texas",641,641,646,632,614,646,666,656,660,673
0500000US48035,48035,"Bosque County, Texas",18212,18217,18272,18260,18123,17862,17716,17863,18010,18326
0500000US48037,48037,"Bowie County, Texas",92565,92565,92635,92907,93114,93456,93428,93400,93881,94012
0500000US48039,48039,"Brazoria County, Texas",313166,313127,314453,319274,324433,330170,337782,345738,353828,362457
0500000US48041,48041,"Brazos County, Texas",194851,194861,195662,197493,200269,204151,208720,215891,219561,222830
0500000US48043,48043,"Brewster County, Texas",9232,9232,9260,9352,9262,9290,9150,9132,9193,9337
0500000US48045,48045,"Briscoe County, Texas",1637,1637,1632,1657,1573,1559,1549,1513,1486,1528
0500000US48047,48047,"Brooks County, Texas",7223,7223,7208,7222,7198,7261,7256,7238,7263,7235
0500000US48049,48049,"Brown County, Texas",38106,38106,38079,37981,37755,37610,37500,37709,38065,38053
0500000US48051,48051,"Burleson County, Texas",17187,17187,17233,17304,17409,17244,17353,17559,17811,18011
0500000US48053,48053,"Burnet County, Texas",42750,42707,42755,43216,43377,43605,43979,44781,45914,46804
0500000US48055,48055,"Caldwell County, Texas",38066,38057,38128,38422,38684,39205,39693,40377,41108,42338
0500000US48057,48057,"Calhoun County, Texas",21381,21381,21311,21356,21575,21735,21805,21881,21942,21744
0500000US48059,48059,"Callahan County, Texas",13544,13544,13511,13508,13483,13496,13499,13580,13777,13946
0500000US48061,48061,"Cameron County, Texas",406220,406219,407590,412917,415370,417095,418838,419579,421766,423725
0500000US48063,48063,"Camp County, Texas",12401,12401,12396,12408,12460,12435,12622,12663,12775,12855
0500000US48065,48065,"Carson County, Texas",6182,6182,6159,6234,6086,5984,6033,6007,6107,6032
0500000US48067,48067,"Cass County, Texas",30464,30464,30455,30275,30023,30232,30121,30143,30080,30012
0500000US48069,48069,"Castro County, Texas",8062,8062,8121,8070,8217,8081,7909,7801,7823,7843
0500000US48071,48071,"Chambers County, Texas",35096,35099,35445,35683,36489,37350,38283,39059,40283,41441
0500000US48073,48073,"Cherokee County, Texas",50845,50834,50939,51076,51261,51088,51174,51573,51896,52240
0500000US48075,48075,"Childress County, Texas",7041,7041,7071,7030,7098,7055,7062,7040,7095,7067
0500000US48077,48077,"Clay County, Texas",10752,10752,10735,10666,10522,10453,10374,10353,10242,10421
0500000US48079,48079,"Cochran County, Texas",3127,3127,3145,3075,3021,3002,2934,2961,2911,2851
0500000US48081,48081,"Coke County, Texas",3320,3317,3319,3266,3201,3179,3215,3225,3263,3306
0500000US48083,48083,"Coleman County, Texas",8895,8895,8874,8745,8668,8526,8416,8315,8421,8430
0500000US48085,48085,"Collin County, Texas",782341,782189,788442,813986,836789,858110,885632,914578,942453,969603
0500000US48087,48087,"Collingsworth County, Texas",3057,3057,3054,3081,3019,3095,3010,3010,3028,2987
0500000US48089,48089,"Colorado County, Texas",20874,20874,20870,20785,20698,20708,20687,20910,21027,21232
0500000US48091,48091,"Comal County, Texas",108472,108471,109251,112039,114808,118576,123120,128653,134142,141009
0500000US48093,48093,"Comanche County, Texas",13974,13961,13951,13853,13709,13540,13457,13368,13521,13573
0500000US48095,48095,"Concho County, Texas",4087,4087,4101,4117,4055,4094,4065,4140,4273,2717
0500000US48097,48097,"Cooke County, Texas",38437,38430,38463,38384,38675,38429,38691,39063,39244,39895
0500000US48099,48099,"Coryell County, Texas",75388,75474,75660,76641,78488,76779,76225,76231,74943,74913
0500000US48101,48101,"Cottle County, Texas",1505,1505,1511,1506,1484,1441,1428,1438,1404,1387
0500000US48103,48103,"Crane County, Texas",4375,4375,4382,4358,4527,4722,4906,5007,4807,4740
0500000US48105,48105,"Crockett County, Texas",3719,3719,3701,3656,3703,3761,3786,3732,3653,3564
0500000US48107,48107,"Crosby County, Texas",6059,6056,6026,6040,6030,5919,5824,5916,5917,5899
0500000US48109,48109,"Culberson County, Texas",2398,2398,2404,2392,2315,2305,2280,2251,2219,2231
0500000US48111,48111,"Dallam County, Texas",6703,6700,6746,6882,7048,7102,7203,7264,7256,7208
0500000US48113,48113,"Dallas County, Texas",2368139,2366776,2372257,2408133,2454781,2483807,2517417,2554233,2587462,2618148
0500000US48115,48115,"Dawson County, Texas",13833,13833,13827,13744,13601,13202,13434,12984,13042,12813
0500000US48117,48117,"Deaf Smith County, Texas",19372,19372,19458,19490,19327,19148,19099,18802,18850,18836
0500000US48119,48119,"Delta County, Texas",5231,5231,5241,5146,5241,5118,5139,5157,5146,5298
0500000US48121,48121,"Denton County, Texas",662614,662537,666750,685934,708139,729013,753511,779572,808299,836210
0500000US48123,48123,"DeWitt County, Texas",20097,20097,20055,20202,20365,20382,20516,20630,20618,20226
0500000US48125,48125,"Dickens County, Texas",2444,2441,2447,2400,2321,2297,2212,2202,2201,2209
0500000US48127,48127,"Dimmit County, Texas",9996,9996,10043,10111,10477,10905,11021,10981,10784,10418
0500000US48129,48129,"Donley County, Texas",3677,3728,3736,3688,3645,3566,3502,3396,3392,3311
0500000US48131,48131,"Duval County, Texas",11782,11782,11720,11795,11585,11587,11520,11343,11449,11273
0500000US48133,48133,"Eastland County, Texas",18583,18583,18594,18576,18455,18277,18238,18161,18303,18411
0500000US48135,48135,"Ector County, Texas",137130,137136,137079,139611,144455,149651,154566,159835,157580,157087
0500000US48137,48137,"Edwards County, Texas",2002,2002,1999,1979,1988,1897,1902,1910,1918,1953
0500000US48139,48139,"Ellis County, Texas",149610,149607,150364,152396,153712,155987,159185,163285,168381,173620
0500000US48141,48141,"El Paso County, Texas",800647,800647,803511,819336,831126,830185,833495,832890,837147,840410
0500000US48143,48143,"Erath County, Texas",37890,37900,37912,38925,39414,39903,40543,41221,41443,41969
0500000US48145,48145,"Falls County, Texas",17866,17867,17893,17850,17561,17240,17207,17230,17331,17437
0500000US48147,48147,"Fannin County, Texas",33915,33910,33917,33872,33576,33541,33615,33476,33855,34446
0500000US48149,48149,"Fayette County, Texas",24554,24554,24557,24744,24654,24716,24789,24967,25070,25272
0500000US48151,48151,"Fisher County, Texas",3974,3974,3969,3957,3848,3869,3873,3871,3881,3880
0500000US48153,48153,"Floyd County, Texas",6446,6446,6403,6369,6349,6244,5945,5846,5876,5855
0500000US48155,48155,"Foard County, Texas",1336,1336,1345,1362,1311,1288,1277,1228,1211,1222
0500000US48157,48157,"Fort Bend County, Texas",585375,584638,590286,606499,625394,652496,683943,713881,741958,764828
0500000US48159,48159,"Franklin County, Texas",10605,10603,10609,10563,10639,10611,10563,10593,10659,10767
0500000US48161,48161,"Freestone County, Texas",19816,19817,19801,19596,19475,19591,19656,19712,19647,19625
0500000US48163,48163,"Frio County, Texas",17217,17217,17258,17495,17908,18383,18924,19260,19385,19600
0500000US48165,48165,"Gaines County, Texas",17526,17526,17584,17902,18284,18793,19319,20213,20481,20638
0500000US48167,48167,"Galveston County, Texas",291309,291303,292470,295609,301059,306662,313609,321305,329306,335036
0500000US48169,48169,"Garza County, Texas",6461,6461,6465,6565,6417,6372,6408,6369,6444,6528
0500000US48171,48171,"Gillespie County, Texas",24837,24837,24885,25038,25152,25320,25465,25959,26305,26646
0500000US48173,48173,"Glasscock County, Texas",1226,1226,1232,1237,1273,1264,1317,1369,1350,1348
0500000US48175,48175,"Goliad County, Texas",7210,7210,7219,7208,7332,7451,7504,7510,7521,7562
0500000US48177,48177,"Gonzales County, Texas",19807,19807,19788,19742,19915,20139,20357,20538,20863,20893
0500000US48179,48179,"Gray County, Texas",22535,22535,22467,22651,22908,22986,23437,23245,22738,22404
0500000US48181,48181,"Grayson County, Texas",120877,120881,121034,121372,121750,122295,123540,125549,128206,131140
0500000US48183,48183,"Gregg County, Texas",121730,121764,121993,122603,122995,123172,123027,123851,123594,123367
0500000US48185,48185,"Grimes County, Texas",26604,26581,26613,26642,26672,26793,27009,27330,27574,28082
0500000US48187,48187,"Guadalupe County, Texas",131533,131537,132594,135789,139586,142840,146765,150585,154596,159659
0500000US48189,48189,"Hale County, Texas",36273,36227,36291,36398,36269,35703,34490,34099,34209,34134
0500000US48191,48191,"Hall County, Texas",3353,3353,3358,3311,3266,3163,3071,3092,3112,3071
0500000US48193,48193,"Hamilton County, Texas",8517,8512,8464,8384,8239,8228,8150,8070,8231,8422
0500000US48195,48195,"Hansford County, Texas",5613,5613,5600,5574,5523,5536,5535,5609,5532,5447
0500000US48197,48197,"Hardeman County, Texas",4139,4139,4159,4159,4096,4064,3988,3912,3991,3994
0500000US48199,48199,"Hardin County, Texas",54635,54635,54783,55061,55117,55301,55505,55758,56261,57139
0500000US48201,48201,"Harris County, Texas",4092459,4093244,4107854,4180816,4262689,4353517,4452695,4551362,4617041,4652980
0500000US48203,48203,"Harrison County, Texas",65631,65629,65752,66324,66242,66254,66626,66760,66730,66661
0500000US48205,48205,"Hartley County, Texas",6062,6062,6064,6028,6081,5993,6039,5674,5706,5691
0500000US48207,48207,"Haskell County, Texas",5899,5902,5878,5958,5887,5905,5799,5817,5765,5746
0500000US48209,48209,"Hays County, Texas",157107,157089,158203,163234,168478,176019,184871,194497,204345,214485
0500000US48211,48211,"Hemphill County, Texas",3807,3807,3795,3951,4082,4143,4175,4292,4126,4024
0500000US48213,48213,"Henderson County, Texas",78532,78534,78623,78792,78938,78628,79262,79447,80034,81064
0500000US48215,48215,"Hidalgo County, Texas",774769,774770,779015,794639,806725,817526,829210,840113,850187,860661
0500000US48217,48217,"Hill County, Texas",35089,35081,35134,35184,35134,34849,34774,34845,35171,35852
0500000US48219,48219,"Hockley County, Texas",22935,22927,22851,22927,23063,23400,23461,23315,23103,23088
0500000US48221,48221,"Hood County, Texas",51182,51168,51263,51543,52154,52889,53842,55330,56758,58273
0500000US48223,48223,"Hopkins County, Texas",35161,35161,35204,35253,35313,35302,35683,35959,36203,36496
0500000US48225,48225,"Houston County, Texas",23732,23732,23682,23425,23207,22806,22795,22736,22888,23021
0500000US48227,48227,"Howard County, Texas",35012,35012,34982,34989,35482,36160,36501,37134,36618,36040
0500000US48229,48229,"Hudspeth County, Texas",3476,3476,3472,3411,3352,3337,3258,3436,4073,4408
0500000US48231,48231,"Hunt County, Texas",86129,86161,86380,86706,87009,87472,88655,89674,91939,93872
0500000US48233,48233,"Hutchinson County, Texas",22150,22249,22210,22013,22004,21894,21898,21781,21570,21375
0500000US48235,48235,"Irion County, Texas",1599,1597,1607,1592,1573,1611,1574,1543,1570,1516
0500000US48237,48237,"Jack County, Texas",9044,9044,9007,9034,9003,8899,8861,8839,8766,8832
0500000US48239,48239,"Jackson County, Texas",14075,14075,14090,14044,14267,14609,14721,14792,14851,14805
0500000US48241,48241,"Jasper County, Texas",35710,35710,35774,36192,35837,35600,35409,35250,35401,35561
0500000US48243,48243,"Jeff Davis County, Texas",2342,2342,2344,2282,2296,2231,2220,2204,2245,2280
0500000US48245,48245,"Jefferson County, Texas",252273,252277,252453,253397,251458,253022,252708,254889,255954,256299
0500000US48247,48247,"Jim Hogg County, Texas",5300,5300,5288,5286,5275,5261,5320,5284,5244,5202
0500000US48249,48249,"Jim Wells County, Texas",40838,40838,40887,41206,41628,41664,41472,41469,41115,40871
